node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
BKI1,BRI1,632333,628646,3702.AT5G42750.1,3702.AT4G39400.1,0,0,0,0,0,0.765,0.8,0.989,0.999
BCE2,AT1G21400,619827,609997,3702.AT3G06850.1,3702.AT1G21400.1,0.182,0,0.4,0,0.797,0.314,0.9,0.936,0.999
GG1,GPA1,624583,616824,3702.AT3G63420.1,3702.AT2G26300.1,0,0,0,0,0,0.715,0.9,0.973,0.999
IPP1,HMGS,630273,625608,3702.AT5G16440.1,3702.AT4G11820.2,0.19,0,0,0,0.901,0,0,0.989,0.999
PDX2,PDX1.1,634277,618103,3702.AT5G60540.1,3702.AT2G38230.1,0.19,0,0.445,0,0.779,0.876,0.8,0.986,0.999
STT3A,AT2G01720,630625,614989,3702.AT5G19690.1,3702.AT2G01720.1,0,0,0,0,0.926,0.837,0.8,0.93,0.999
AT5G09300,DIN4,629565,620504,3702.AT5G09300.1,3702.AT3G13450.1,0.19,0.532,0.447,0,0.904,0.828,0.9,0.57,0.999
AT5G46630,alpha-ADR,632771,630873,3702.AT5G46630.2,3702.AT5G22770.1,0,0,0,0,0.903,0.956,0.9,0.708,0.999
MAB1,LTA3,633238,623404,3702.AT5G50850.1,3702.AT3G52200.2,0.173,0.001,0.405,0,0.853,0.754,0.9,0.714,0.999
ATG3,APG7,634381,632694,3702.AT5G61500.1,3702.AT5G45900.1,0,0,0,0,0.175,0.993,0.9,0.992,0.999
DIN4,AT1G21400,620504,609997,3702.AT3G13450.1,3702.AT1G21400.1,0.19,0.492,0.447,0,0.921,0.828,0.9,0.869,0.999
AT2G34590,IAR4,617711,610293,3702.AT2G34590.1,3702.AT1G24180.1,0,0.317,0.446,0,0.901,0.811,0.8,0.562,0.999
DGL1,STT3A,634940,630625,3702.AT5G66680.1,3702.AT5G19690.1,0,0,0,0,0.945,0.857,0.8,0.929,0.999
AT-HF,IGPD,627298,621501,3702.AT4G26900.1,3702.AT3G22425.2,0.19,0,0.341,0,0.898,0.048,0.9,0.887,0.999
HMGS,HMG2,625608,615884,3702.AT4G11820.2,3702.AT2G17370.1,0.19,0,0,0,0.906,0,0.9,0.948,0.999
FTA,PGGT-I,624153,618241,3702.AT3G59380.1,3702.AT2G39550.1,0,0,0,0,0.059,0.986,0,0.975,0.999
PSY,PDS3,630357,625872,3702.AT5G17230.3,3702.AT4G14210.1,0,0,0.283,0,0.287,0,0.9,0.994,0.999
PEX12,PEX10,619551,616829,3702.AT3G04460.1,3702.AT2G26350.1,0,0,0,0,0.899,0.84,0.9,0.992,0.999
CDPMEK,ISPD,616889,615069,3702.AT2G26930.1,3702.AT2G02500.1,0.19,0,0.395,0,0.363,0,0.9,0.988,0.999
AT4G26910,AT4G16155,627299,626122,3702.AT4G26910.1,3702.AT4G16155.1,0.158,0,0,0,0.899,0.783,0.9,0.567,0.999
AT5G48220,AT4G02610,632944,624904,3702.AT5G48220.1,3702.AT4G02610.1,0.19,0.426,0.444,0,0.897,0,0.9,0.748,0.999
PAS2,CER10,629694,623738,3702.AT5G10480.3,3702.AT3G55360.1,0,0,0,0,0.924,0.342,0.9,0.974,0.999
AT5G46630,AT5G22780,632771,630874,3702.AT5G46630.2,3702.AT5G22780.1,0,0,0,0,0.903,0.887,0.9,0.847,0.999
SQD2,SQD1,628751,627970,3702.AT5G01220.1,3702.AT4G33030.1,0.058,0,0,0,0.425,0,0.9,0.985,0.999
AT5G55070,mtLPD2,633693,620931,3702.AT5G55070.1,3702.AT3G17240.1,0.158,0,0.34,0,0.924,0.783,0.9,0.584,0.999
APG7,ATG18B,632694,627692,3702.AT5G45900.1,3702.AT4G30510.1,0,0,0,0,0.609,0.76,0.9,0.833,0.998
PDAT,DGAT2,629983,623328,3702.AT5G13640.1,3702.AT3G51520.1,0,0,0,0,0,0.271,0.9,0.985,0.998
LYC,ZDS,620139,619598,3702.AT3G10230.1,3702.AT3G04870.2,0,0,0,0,0.213,0,0.9,0.983,0.998
LCB2,TSC10B,630970,630572,3702.AT5G23670.1,3702.AT5G19200.1,0,0,0,0,0.056,0.044,0.9,0.983,0.998
VTE1,APG1,627941,624582,3702.AT4G32770.1,3702.AT3G63410.1,0,0,0,0,0.09,0,0.9,0.981,0.998
MAB1,mtLPD2,633238,620931,3702.AT5G50850.1,3702.AT3G17240.1,0.178,0,0,0,0.909,0.706,0.9,0.516,0.998
AT4G16155,AT2G34590,626122,617711,3702.AT4G16155.1,3702.AT2G34590.1,0.178,0,0,0,0.903,0.706,0.65,0.868,0.998
FAB1A,AT2G01690,627991,614987,3702.AT4G33240.1,3702.AT2G01690.2,0,0,0,0,0.096,0.813,0.9,0.946,0.998
AT2G01690,ATSAC1,614987,610125,3702.AT2G01690.2,3702.AT1G22620.1,0,0,0,0,0.044,0.789,0.9,0.938,0.998
PDS3,Z-ISO,625872,608895,3702.AT4G14210.1,3702.AT1G10830.1,0,0,0.318,0,0.179,0,0.9,0.971,0.998
TOC159,TOC75-III,624893,622819,3702.AT4G02510.1,3702.AT3G46740.1,0,0,0,0,0.132,0.655,0.9,0.968,0.998
ATSTE14B,ATSTE24,629503,624754,3702.AT5G08335.1,3702.AT4G01320.1,0,0,0,0,0.053,0.184,0.9,0.979,0.998
MAB1,AT3G13930,633238,620566,3702.AT5G50850.1,3702.AT3G13930.1,0.173,0.005,0.423,0,0.857,0.754,0.9,0.492,0.998
RGTA2,REP,632228,619795,3702.AT5G41820.1,3702.AT3G06540.1,0,0,0,0,0.05,0.827,0.9,0.92,0.998
CCD8,CCD7,627946,618833,3702.AT4G32810.1,3702.AT2G44990.1,0,0,0.218,0,0.077,0,0.9,0.987,0.998
LHCB5,LHCB4.2,625451,620000,3702.AT4G10340.1,3702.AT3G08940.2,0,0,0,0.811,0.985,0.833,0.54,0.833,0.998
COI1,JAZ1,618284,609771,3702.AT2G39940.1,3702.AT1G19180.1,0,0,0,0,0,0.95,0.6,0.951,0.998
AT3G07180,AT3G07140,619862,619858,3702.AT3G07180.1,3702.AT3G07140.1,0,0,0,0,0.421,0.958,0.8,0.815,0.998
APG7,ATG8F,632694,626166,3702.AT5G45900.1,3702.AT4G16520.2,0,0,0,0,0.048,0.94,0.8,0.891,0.998
ZDS,Z-ISO,619598,608895,3702.AT3G04870.2,3702.AT1G10830.1,0,0,0.355,0,0.11,0,0.9,0.978,0.998
VTE1,HPT1,627941,616052,3702.AT4G32770.1,3702.AT2G18950.1,0,0,0.378,0,0.044,0,0.9,0.975,0.998
AT5G47720,HMGS,632892,625608,3702.AT5G47720.4,3702.AT4G11820.2,0.19,0,0,0,0.57,0.732,0.9,0.908,0.998
ATSTE14B,FACE2,629503,617894,3702.AT5G08335.1,3702.AT2G36305.1,0,0,0,0,0.044,0.184,0.9,0.981,0.998
STE14A,ATSTE24,630934,624754,3702.AT5G23320.1,3702.AT4G01320.1,0,0,0,0,0.053,0.184,0.9,0.985,0.998
STE14A,FACE2,630934,617894,3702.AT5G23320.1,3702.AT2G36305.1,0,0,0,0,0.044,0.184,0.9,0.981,0.998
KASI,MOD1,632736,615365,3702.AT5G46290.3,3702.AT2G05990.2,0.059,0,0,0,0.714,0.262,0.9,0.952,0.998
RHL2,TOP6B,628919,621319,3702.AT5G02820.1,3702.AT3G20780.1,0.19,0,0.243,0,0.067,0.919,0,0.974,0.998
AT3G07140,AT1G08750,619858,608664,3702.AT3G07140.1,3702.AT1G08750.1,0,0,0,0,0.255,0.952,0.8,0.833,0.998
ATG3,ATG8F,634381,626166,3702.AT5G61500.1,3702.AT4G16520.2,0,0,0,0,0.246,0.919,0.8,0.784,0.997
mtLPD2,AT2G34590,620931,617711,3702.AT3G17240.1,3702.AT2G34590.1,0.178,0,0,0,0.897,0.706,0.65,0.762,0.997
LTA3,mtLPD2,623404,620931,3702.AT3G52200.2,3702.AT3G17240.1,0.158,0.011,0.261,0,0.526,0.731,0.9,0.749,0.997
mtLPD2,AT3G13930,620931,620566,3702.AT3G17240.1,3702.AT3G13930.1,0.158,0.033,0.284,0,0.515,0.731,0.9,0.782,0.997
ABA1,NPQ1,634978,608645,3702.AT5G67030.1,3702.AT1G08550.1,0,0,0,0,0.06,0,0.9,0.975,0.997
LTA3,AT2G34590,623404,617711,3702.AT3G52200.2,3702.AT2G34590.1,0.173,0,0.365,0,0.832,0.754,0.65,0.749,0.997
LTA3,IAR4,623404,610293,3702.AT3G52200.2,3702.AT1G24180.1,0,0,0.404,0,0.806,0.642,0.9,0.492,0.997
AT3G13930,IAR4,620566,610293,3702.AT3G13930.1,3702.AT1G24180.1,0,0,0.425,0,0.798,0.642,0.9,0.492,0.997
AT-HF,HISN5B,627298,625968,3702.AT4G26900.1,3702.AT4G14910.2,0.19,0,0.342,0,0.898,0.048,0.9,0.561,0.997
APG7,ATG8H,632694,619780,3702.AT5G45900.1,3702.AT3G06420.1,0,0,0,0,0.169,0.801,0.9,0.875,0.997
LPD1,AT2G34590,620901,617711,3702.AT3G16950.2,3702.AT2G34590.1,0.178,0,0,0,0.911,0.706,0.65,0.735,0.997
FK,CYP51G1,623480,608984,3702.AT3G52940.1,3702.AT1G11680.1,0,0,0,0,0.183,0.715,0.9,0.908,0.997
APG1,HPT1,624582,616052,3702.AT3G63410.1,3702.AT2G18950.1,0,0,0,0,0.049,0,0.9,0.974,0.997
ATG3,VPS15,634381,627571,3702.AT5G61500.1,3702.AT4G29380.1,0,0,0,0,0,0,0.9,0.975,0.997
LCB2,TSC10A,630970,619742,3702.AT5G23670.1,3702.AT3G06060.1,0,0,0,0,0.056,0.044,0.9,0.976,0.997
AGG2,GPA1,621556,616824,3702.AT3G22942.1,3702.AT2G26300.1,0,0,0,0,0,0,0.9,0.973,0.997
ALG3,LEW3,619121,618315,3702.AT2G47760.1,3702.AT2G40190.1,0,0,0,0,0.048,0.197,0.9,0.971,0.997
CCD7,D27,618833,608059,3702.AT2G44990.1,3702.AT1G03055.1,0,0,0,0,0.042,0,0.9,0.973,0.997
MAB1,AT4G16155,633238,626122,3702.AT5G50850.1,3702.AT4G16155.1,0.178,0,0,0,0.897,0.706,0.65,0.728,0.997
AT5G19130,AT3G07140,630562,619858,3702.AT5G19130.1,3702.AT3G07140.1,0,0,0,0,0.159,0.921,0.8,0.833,0.997
AT5G09300,BCE2,629565,619827,3702.AT5G09300.1,3702.AT3G06850.1,0.182,0,0.401,0,0.749,0.314,0.9,0.64,0.996
AT3G02590,SMO2-2,619348,617142,3702.AT3G02590.1,3702.AT2G29390.1,0,0,0,0.592,0.897,0.545,0.9,0.548,0.996
AT5G38460,AT2G44660,631874,618800,3702.AT5G38460.2,3702.AT2G44660.1,0,0,0,0.612,0.732,0.817,0.9,0.833,0.996
AT5G47720,AT3G15290,632892,620714,3702.AT5G47720.4,3702.AT3G15290.1,0.19,0,0.369,0,0.205,0.73,0.9,0.708,0.996
AOS,AOC1,632323,621865,3702.AT5G42650.1,3702.AT3G25760.1,0,0,0,0,0.679,0,0.9,0.9,0.996
AT5G19130,AT1G08750,630562,608664,3702.AT5G19130.1,3702.AT1G08750.1,0,0,0,0,0.103,0.884,0.8,0.833,0.996
PCME,FACE2,630212,617894,3702.AT5G15860.1,3702.AT2G36305.1,0,0,0,0,0,0,0.9,0.967,0.996
UNE18,PVA12,628846,618848,3702.AT5G02100.1,3702.AT2G45140.1,0,0,0,0,0.099,0.882,0,0.968,0.996
AT3G07180,AT1G08750,619862,608664,3702.AT3G07180.1,3702.AT1G08750.1,0,0,0,0,0.123,0.914,0.8,0.815,0.996
MGD1,DGD1,627830,620299,3702.AT4G31780.2,3702.AT3G11670.1,0,0,0,0,0,0,0.9,0.967,0.996
MOD1,AT2G04540,615365,615265,3702.AT2G05990.2,3702.AT2G04540.1,0.059,0,0,0,0.056,0.262,0.9,0.953,0.996
CHY2,LUT1,633418,623502,3702.AT5G52570.1,3702.AT3G53130.1,0,0,0,0,0,0,0.9,0.965,0.996
IPK2BETA,IPK1,634408,632342,3702.AT5G61760.1,3702.AT5G42810.1,0,0,0,0,0.043,0,0.9,0.961,0.996
AOS,LOX2,632323,622651,3702.AT5G42650.1,3702.AT3G45140.1,0,0,0,0,0.288,0,0.9,0.96,0.996
VTC2,VTC4,627293,619377,3702.AT4G26850.1,3702.AT3G02870.1,0,0,0,0,0,0,0.9,0.967,0.996
MGD2,DGD2,630702,624666,3702.AT5G20410.1,3702.AT4G00550.1,0,0,0,0,0,0,0.9,0.967,0.996
KDTA,LpxK,629022,621287,3702.AT5G03770.1,3702.AT3G20480.1,0.19,0.65,0.422,0,0.093,0,0,0.979,0.996
MGD1,DGD2,627830,624666,3702.AT4G31780.2,3702.AT4G00550.1,0,0,0,0,0,0,0.9,0.966,0.996
MK,HMGS,631348,625608,3702.AT5G27450.2,3702.AT4G11820.2,0.19,0,0.361,0,0.261,0,0,0.992,0.996
ATG3,ATG18B,634381,627692,3702.AT5G61500.1,3702.AT4G30510.1,0,0,0,0,0.058,0.76,0.9,0.833,0.995
FaTA,MOD1,621797,615365,3702.AT3G25110.1,3702.AT2G05990.2,0,0,0,0,0.087,0,0.9,0.951,0.995
AT3G43220,FAB1B,622464,620605,3702.AT3G43220.1,3702.AT3G14270.1,0,0,0,0,0.199,0.702,0.9,0.821,0.995
HMGS,AT3G54250,625608,623622,3702.AT4G11820.2,3702.AT3G54250.1,0.19,0,0.416,0,0.907,0.134,0,0.894,0.995
ATG3,ATG8H,634381,619780,3702.AT5G61500.1,3702.AT3G06420.1,0,0,0,0,0.206,0.73,0.9,0.802,0.995
APG7,ATG8E,632694,618852,3702.AT5G45900.1,3702.AT2G45170.2,0,0,0,0,0.048,0.801,0.8,0.889,0.995
MGD2,DGD1,630702,620299,3702.AT5G20410.1,3702.AT3G11670.1,0,0,0,0,0.059,0,0.9,0.953,0.995
AT3G13930,AT2G34590,620566,617711,3702.AT3G13930.1,3702.AT2G34590.1,0.173,0.003,0.387,0,0.832,0.754,0.65,0.492,0.995
AOS,AOC2,632323,621866,3702.AT5G42650.1,3702.AT3G25770.1,0,0,0,0,0.428,0,0.9,0.929,0.995
DWF4,DET2,623232,618084,3702.AT3G50660.1,3702.AT2G38050.1,0,0,0,0,0,0,0.9,0.955,0.995
AT4G13050,MOD1,625737,615365,3702.AT4G13050.1,3702.AT2G05990.2,0,0,0,0,0.056,0,0.9,0.952,0.995
IPP1,HDR,630273,628115,3702.AT5G16440.1,3702.AT4G34350.1,0,0,0,0,0,0,0.9,0.955,0.995
SLY1,RGA1,627007,614974,3702.AT4G24210.1,3702.AT2G01570.1,0,0,0,0,0,0.655,0.8,0.934,0.995
BSK1,BSU1,628209,608101,3702.AT4G35230.1,3702.AT1G03445.1,0,0,0,0,0,0,0.8,0.978,0.995
DGD2,MGDC,624666,615535,3702.AT4G00550.1,3702.AT2G11810.1,0,0,0,0,0,0,0.9,0.953,0.995
MK,AT3G54250,631348,623622,3702.AT5G27450.2,3702.AT3G54250.1,0.19,0,0.382,0,0.908,0,0,0.909,0.995
FAB1A,AT3G43220,627991,622464,3702.AT4G33240.1,3702.AT3G43220.1,0,0,0,0,0.194,0.702,0.9,0.828,0.995
MAB1,LPD1,633238,620901,3702.AT5G50850.1,3702.AT3G16950.2,0.178,0,0,0,0.897,0.706,0.65,0.516,0.995
CAC1,CAC3,630268,618083,3702.AT5G16390.1,3702.AT2G38040.1,0.19,0,0.44,0,0.226,0.621,0.8,0.864,0.995
AT3G02590,SMO2-1,619348,608516,3702.AT3G02590.1,3702.AT1G07420.1,0,0,0,0.602,0.897,0.545,0.9,0.548,0.995
GID1A,GAI,619627,609337,3702.AT3G05120.1,3702.AT1G14920.1,0,0,0,0,0,0.752,0.6,0.95,0.994
HDS,CDPMEK,634285,616889,3702.AT5G60600.1,3702.AT2G26930.1,0,0,0.393,0,0.167,0.042,0,0.99,0.994
ACLB-1,ACLA-3,619807,608736,3702.AT3G06650.1,3702.AT1G09430.1,0,0.135,0.441,0,0.093,0,0.8,0.944,0.994
HDR,CDPMEK,628115,616889,3702.AT4G34350.1,3702.AT2G26930.1,0.082,0,0.317,0,0.053,0,0,0.991,0.994
AT5G19130,AT3G07180,630562,619862,3702.AT5G19130.1,3702.AT3G07180.1,0,0,0,0,0.097,0.839,0.8,0.819,0.994
HDR,ISPD,628115,615069,3702.AT4G34350.1,3702.AT2G02500.1,0.053,0,0.328,0,0.195,0,0,0.99,0.994
PDS3,ZDS,625872,619598,3702.AT4G14210.1,3702.AT3G04870.2,0,0,0.438,0.762,0.921,0,0.9,0.99,0.994
PCME,ATSTE24,630212,624754,3702.AT5G15860.1,3702.AT4G01320.1,0,0,0,0,0,0,0.9,0.951,0.994
LUT2,CRTISO,633905,608455,3702.AT5G57030.1,3702.AT1G06820.1,0,0,0,0,0.126,0,0.9,0.941,0.994
ATSTE24,FACE2,624754,617894,3702.AT4G01320.1,3702.AT2G36305.1,0,0,0,0,0,0.26,0,0.992,0.994
MFP2,PKT3,619828,617552,3702.AT3G06860.1,3702.AT2G33150.1,0.132,0.098,0.233,0,0.56,0.346,0.9,0.763,0.994
AOS,AOC3,632323,621867,3702.AT5G42650.1,3702.AT3G25780.1,0,0,0,0,0.275,0,0.9,0.926,0.994
TSC10B,LCB1,630572,628340,3702.AT5G19200.1,3702.AT4G36480.1,0,0,0,0,0.093,0.045,0.9,0.941,0.994
LHCB5,LHCA4,625451,622888,3702.AT4G10340.1,3702.AT3G47470.1,0,0,0,0.792,0.986,0,0.54,0.927,0.994
OPR3,OPCL1,615372,609902,3702.AT2G06050.2,3702.AT1G20510.1,0.045,0,0,0,0.848,0,0.65,0.912,0.994
LHCA4,LHCB4.2,622888,620000,3702.AT3G47470.1,3702.AT3G08940.2,0,0,0,0.786,0.986,0,0.54,0.791,0.994
BCCP2,CAC3,630176,618083,3702.AT5G15530.1,3702.AT2G38040.1,0.19,0,0.442,0,0.159,0.621,0.8,0.853,0.994
GID1A,RGA1,619627,614974,3702.AT3G05120.1,3702.AT2G01570.1,0,0,0,0,0,0.752,0.6,0.949,0.994
ABA1,PSY,634978,630357,3702.AT5G67030.1,3702.AT5G17230.3,0.126,0,0,0,0.302,0,0,0.991,0.994
PEX19-1,PEX10,619445,616829,3702.AT3G03490.1,3702.AT2G26350.1,0,0,0,0,0,0.934,0,0.919,0.994
DGAT2,AT3G44830,623328,622619,3702.AT3G51520.1,3702.AT3G44830.1,0,0,0,0,0,0.271,0.9,0.926,0.994
SMO2-2,CYP51G1,617142,608984,3702.AT2G29390.1,3702.AT1G11680.1,0,0,0,0,0.903,0.697,0,0.837,0.994
PSY,ZDS,630357,619598,3702.AT5G17230.3,3702.AT3G04870.2,0,0,0.211,0,0.304,0,0,0.991,0.994
AOS,LOX3,632323,609594,3702.AT5G42650.1,3702.AT1G17420.1,0,0,0,0,0.392,0,0.9,0.924,0.994
RGTA2,PGGT-I,632228,618241,3702.AT5G41820.1,3702.AT2G39550.1,0,0,0,0,0.055,0.645,0.54,0.962,0.993
LpxA,LpxK,627586,621287,3702.AT4G29540.2,3702.AT3G20480.1,0.19,0,0.405,0,0.067,0.042,0,0.986,0.993
TOC34,TOC75-III,629151,622819,3702.AT5G05000.3,3702.AT3G46740.1,0,0,0,0,0.216,0.566,0,0.982,0.993
AT3G07140,AT1G12730,619858,609099,3702.AT3G07140.1,3702.AT1G12730.1,0,0,0,0,0.441,0.835,0.8,0.666,0.993
HDS,ISPD,634285,615069,3702.AT5G60600.1,3702.AT2G02500.1,0.063,0,0.395,0,0.135,0,0,0.988,0.993
ABA1,CHY2,634978,633418,3702.AT5G67030.1,3702.AT5G52570.1,0,0,0,0,0.275,0,0.9,0.914,0.993
LUT2,ZDS,633905,619598,3702.AT5G57030.1,3702.AT3G04870.2,0,0,0,0,0.314,0,0.9,0.917,0.993
PSY,CRTISO,630357,608455,3702.AT5G17230.3,3702.AT1G06820.1,0.185,0,0.231,0,0.151,0,0,0.988,0.993
DGD1,MGDC,620299,615535,3702.AT3G11670.1,3702.AT2G11810.1,0,0,0,0,0.087,0,0.9,0.935,0.993
mtLPD2,BCE2,620931,619827,3702.AT3G17240.1,3702.AT3G06850.1,0.158,0,0,0,0.198,0.803,0.9,0.493,0.992
SMO1-3,CYP51G1,626848,608984,3702.AT4G22753.2,3702.AT1G11680.1,0,0,0,0,0.899,0.697,0,0.762,0.992
AT2G04540,FATB,615265,608641,3702.AT2G04540.1,3702.AT1G08510.1,0,0,0,0,0,0,0.9,0.925,0.992
FAB1B,ATSAC1,620605,610125,3702.AT3G14270.1,3702.AT1G22620.1,0,0,0,0,0.155,0.702,0.9,0.735,0.992
ARF1A1C,AGD7,619063,618032,3702.AT2G47170.1,3702.AT2G37550.1,0,0,0,0,0.058,0.181,0.9,0.912,0.992
FAB1B,AT2G01690,620605,614987,3702.AT3G14270.1,3702.AT2G01690.2,0,0,0,0,0.082,0.813,0.9,0.634,0.992
LPD1,BCE2,620901,619827,3702.AT3G16950.2,3702.AT3G06850.1,0.158,0,0,0,0.208,0.803,0.9,0.493,0.992
GID1B,RGA1,624540,614974,3702.AT3G63010.1,3702.AT2G01570.1,0,0,0,0,0,0.752,0.6,0.933,0.992
KAT5,HMGS,633021,625608,3702.AT5G48880.2,3702.AT4G11820.2,0.19,0,0,0,0.179,0.732,0.9,0.625,0.992
FAB1A,ATSAC1,627991,610125,3702.AT4G33240.1,3702.AT1G22620.1,0,0,0,0,0.155,0.702,0.9,0.74,0.992
LCB1,TSC10A,628340,619742,3702.AT4G36480.1,3702.AT3G06060.1,0,0,0,0,0.093,0.045,0.9,0.92,0.992
SMO1-2,CYP51G1,626849,608984,3702.AT4G22756.1,3702.AT1G11680.1,0,0,0,0,0.899,0.697,0,0.767,0.992
AT4G16155,BCE2,626122,619827,3702.AT4G16155.1,3702.AT3G06850.1,0.158,0,0,0,0.198,0.803,0.9,0.493,0.992
CYP51G1,SMO2-1,608984,608516,3702.AT1G11680.1,3702.AT1G07420.1,0,0,0,0,0.899,0.697,0,0.767,0.992
IPK2BETA,ITPK1,634408,630308,3702.AT5G61760.1,3702.AT5G16760.1,0,0,0,0,0,0,0.9,0.927,0.992
LYC,CRTISO,620139,608455,3702.AT3G10230.1,3702.AT1G06820.1,0,0,0,0,0.055,0,0.9,0.931,0.992
KASI,FATB,632736,608641,3702.AT5G46290.3,3702.AT1G08510.1,0,0,0,0,0,0,0.9,0.923,0.992
ATG18B,ATG8H,627692,619780,3702.AT4G30510.1,3702.AT3G06420.1,0,0,0,0,0.195,0.307,0.9,0.868,0.991
AIM1,PKT3,627528,617552,3702.AT4G29010.1,3702.AT2G33150.1,0.132,0.108,0.221,0,0.31,0.346,0.9,0.749,0.991
IPP1,AT3G54250,630273,623622,3702.AT5G16440.1,3702.AT3G54250.1,0.19,0,0,0,0.351,0,0.9,0.858,0.991
MK,IPP1,631348,630273,3702.AT5G27450.2,3702.AT5G16440.1,0.19,0,0,0,0.151,0,0,0.988,0.991
IPK1,ITPK1,632342,630308,3702.AT5G42810.1,3702.AT5G16760.1,0,0,0,0,0,0,0.9,0.922,0.991
APG7,ATG8G,632694,624278,3702.AT5G45900.1,3702.AT3G60640.1,0,0,0,0,0.048,0.801,0.8,0.797,0.991
AT5G10160,AT1G24360,629661,610314,3702.AT5G10160.1,3702.AT1G24360.1,0.066,0,0.311,0,0.203,0.198,0.65,0.95,0.991
AT5G20840,AT2G01690,630742,614987,3702.AT5G20840.1,3702.AT2G01690.2,0,0,0,0,0.102,0.789,0.9,0.581,0.991
GID1B,GAI,624540,609337,3702.AT3G63010.1,3702.AT1G14920.1,0,0,0,0,0,0.752,0.6,0.918,0.991
HMGS,PKT3,625608,617552,3702.AT4G11820.2,3702.AT2G33150.1,0.19,0,0,0,0.179,0.732,0.9,0.577,0.991
MEE31,PMM,619346,618915,3702.AT3G02570.1,3702.AT2G45790.1,0,0,0,0,0.12,0,0.9,0.913,0.991
AT4G16155,LTA3,626122,623404,3702.AT4G16155.1,3702.AT3G52200.2,0.158,0.005,0,0,0.433,0.731,0.65,0.842,0.991
PSY,LYC,630357,620139,3702.AT5G17230.3,3702.AT3G10230.1,0,0,0,0,0.27,0,0,0.989,0.991
CAC2,CAC3,631568,618083,3702.AT5G35360.3,3702.AT2G38040.1,0,0,0.386,0,0.179,0,0.8,0.924,0.991
PDS3,CRTISO,625872,608455,3702.AT4G14210.1,3702.AT1G06820.1,0,0,0.317,0,0.112,0,0,0.985,0.99
MK,HMG2,631348,615884,3702.AT5G27450.2,3702.AT2G17370.1,0.19,0,0.276,0,0.069,0,0.9,0.856,0.99
APG7,ATG8B,632694,625069,3702.AT5G45900.1,3702.AT4G04620.1,0,0,0,0,0.048,0.801,0.8,0.778,0.99
AT3G43220,AT2G01690,622464,614987,3702.AT3G43220.1,3702.AT2G01690.2,0,0,0,0,0.044,0.789,0.9,0.581,0.99
USP,GLCAK,633417,619246,3702.AT5G52560.1,3702.AT3G01640.1,0,0,0,0,0,0,0.9,0.905,0.99
AT1G12730,AT1G08750,609099,608664,3702.AT1G12730.1,3702.AT1G08750.1,0,0,0,0,0.201,0.837,0.8,0.663,0.99
