Uniprot ID	RefSeq	Gene ID	Protein Entry 	Protein names
A0A0R0IXY6		GLYMA.08G212900	A0A0R0IXY6_SOYBN	Uncharacterized protein
A0A368UHQ6		GLYMA.09G136700	A0A368UHQ6_SOYBN	Uncharacterized protein
K7LW77		GLYMA.12G212800	K7LW77_SOYBN	START domain-containing protein
A0A0R0HNI5		GLYMA.11G035200	A0A0R0HNI5_SOYBN	Acyl-coenzyme A oxidase
I1K7I4		GLYMA.06G022900	I1K7I4_SOYBN	Lipase_GDSL domain-containing protein
I1LJG5		GLYMA.11G120300	I1LJG5_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (Oligosaccharyl transferase 48 kDa subunit)
K7LGG7		GLYMA.09G275600	K7LGG7_SOYBN	Uncharacterized protein
I1JI90		GLYMA.02G257200	I1JI90_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0FMW4		GLYMA.16G081800	A0A0R0FMW4_SOYBN	Tify domain-containing protein
I1L507	XP_014635025.1;	GLYMA.09G207800	I1L507_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1)
K7KP82		GLYMA.05G095300	K7KP82_SOYBN	Lipase_3 domain-containing protein
K7KAZ1		GLYMA.02G266100	K7KAZ1_SOYBN	BPI1 domain-containing protein
I1N2H8		GLYMA.18G182000	I1N2H8_SOYBN	Uncharacterized protein
K7KRV3		GLYMA.05G218600	K7KRV3_SOYBN	3-oxoacyl-[acyl-carrier-protein] synthase
I1N5L5		GLYMA.19G002300	I1N5L5_SOYBN	AAI domain-containing protein
I1JE02		GLYMA.02G102800	I1JE02_SOYBN	Uncharacterized protein
A0A0R0EFL7		GLYMA.20G240900	A0A0R0EFL7_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1LJG4		GLYMA.11G120300	I1LJG4_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (Oligosaccharyl transferase 48 kDa subunit)
K7ML92		GLYMA.17G119100	K7ML92_SOYBN	Glyco_transf_28 domain-containing protein
I1N9T0		GLYMA.19G166800	I1N9T0_SOYBN	Uncharacterized protein
A0A0R0K9M8		GLYMA.04G180600	A0A0R0K9M8_SOYBN	Lipocln_cytosolic_FA-bd_dom domain-containing protein
I1JT13		GLYMA.04G022800	I1JT13_SOYBN	Lipase_GDSL domain-containing protein
I1KG19		GLYMA.07G001000	I1KG19_SOYBN	START domain-containing protein
I1L740		GLYMA.09G278000	I1L740_SOYBN	Non-specific lipid-transfer protein
I1NII1	XP_006606420.1;	GLYMA.20G218200	I1NII1_SOYBN	START domain-containing protein
A0A0R0FRX0		GLYMA.16G179100	A0A0R0FRX0_SOYBN	Fatty acid hydroxylase domain-containing protein
I1L509		GLYMA.09G207800	I1L509_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1)
K7MCI2		GLYMA.15G195200	K7MCI2_SOYBN	FA_desaturase domain-containing protein
I1KKG0		GLYMA.07G151300	I1KKG0_SOYBN	Uncharacterized protein
A0A0R0IP85		GLYMA.08G189300	A0A0R0IP85_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0KU41		GLYMA.02G085100	A0A0R0KU41_SOYBN	Uncharacterized protein
I1M597		GLYMA.13G347600	I1M597_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1JGN9		GLYMA.02G203300	I1JGN9_SOYBN	FA_desaturase domain-containing protein
K7MIG2		GLYMA.16G193400	K7MIG2_SOYBN	AAI domain-containing protein
K7L509		GLYMA.08G049500	K7L509_SOYBN	Uncharacterized protein
A0A0R0IJ93		GLYMA.08G089200	A0A0R0IJ93_SOYBN	Uncharacterized protein
A0A368UGL3	XP_014626326.1;	GLYMA.18G149700	A0A368UGL3_SOYBN	Glyco_transf_28 domain-containing protein
A0A0R0G2M3		GLYMA.15G031700	A0A0R0G2M3_SOYBN	Carrier domain-containing protein
K7LDZ9		GLYMA.09G147300	K7LDZ9_SOYBN	Post-GPI attachment to proteins factor 3
A0A0R0IFF4		GLYMA.09G223100	A0A0R0IFF4_SOYBN	AB hydrolase-1 domain-containing protein (Fragment)
K7M1Y1		GLYMA.13G258800	K7M1Y1_SOYBN	Uncharacterized protein
A0A0R0IYE6		GLYMA.07G006900	A0A0R0IYE6_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1J4R3		GLYMA.01G014600	I1J4R3_SOYBN	Uncharacterized protein
A0A0R0K3W8		GLYMA.04G047000	A0A0R0K3W8_SOYBN	Uncharacterized protein
A0A0R0GIK6		GLYMA.14G059700	A0A0R0GIK6_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1KJ10		GLYMA.07G096700	I1KJ10_SOYBN	AAI domain-containing protein
A0A0R0GVI2		GLYMA.13G099900	A0A0R0GVI2_SOYBN	Uncharacterized protein
A0A368UIV4		GLYMA.10G224000	A0A368UIV4_SOYBN	Uncharacterized protein
K7MV66		GLYMA.18G280100	K7MV66_SOYBN	Uncharacterized protein
A0A368UHP2	XP_003533994.1;	GLYMA.09G136700	A0A368UHP2_SOYBN	Uncharacterized protein
A0A0R0LG87		GLYMA.01G240700	A0A0R0LG87_SOYBN	Uncharacterized protein (Fragment)
K7KEK9		GLYMA.03G121500	K7KEK9_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1L683		GLYMA.09G248500	I1L683_SOYBN	Acyl carrier protein
A0A0R0KQ73		GLYMA.03G121500	A0A0R0KQ73_SOYBN	Uncharacterized protein
A0A0R0LBK7		GLYMA.01G012200	A0A0R0LBK7_SOYBN	Lipase_3 domain-containing protein (Fragment)
I1MFB9		GLYMA.15G101800	I1MFB9_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
A0A368UIG3	XP_003556235.1;XP_006606249.1;XP_006606250.1;	GLYMA.20G180300	A0A368UIG3_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
A0A0R0LMR7		GLYMA.01G240700	A0A0R0LMR7_SOYBN	Uncharacterized protein
A0A0R0LIM3		GLYMA.01G130100	A0A0R0LIM3_SOYBN	Non-specific lipid-transfer protein
A0A0R0GWV9		GLYMA.13G317700	A0A0R0GWV9_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
I1KJJ3	XP_003529031.1;	GLYMA.07G115400	I1KJJ3_SOYBN	Patatin (EC 3.1.1.-)
K7MQV3		GLYMA.18G095300	K7MQV3_SOYBN	Uncharacterized protein
I1LWA1		GLYMA.13G075900	I1LWA1_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7M5M3		GLYMA.14G083600	K7M5M3_SOYBN	Lipase_3 domain-containing protein
A0A0R0JZY7		GLYMA.05G099200	A0A0R0JZY7_SOYBN	ATP-synt_C domain-containing protein (Fragment)
A0A0R0JJG1		GLYMA.06G196400	A0A0R0JJG1_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1) (Fragment)
A0A368UGL0	XP_006602441.1;	GLYMA.18G149700	A0A368UGL0_SOYBN	Glyco_transf_28 domain-containing protein
A0A0R0G028		GLYMA.15G128300	A0A0R0G028_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0IRM2		GLYMA.08G040100	A0A0R0IRM2_SOYBN	Abhydro_lipase domain-containing protein
I1JRE0		GLYMA.03G239000	I1JRE0_SOYBN	Mevalonate kinase (MK) (EC 2.7.1.36)
K7KB50		GLYMA.02G275800	K7KB50_SOYBN	MlaD domain-containing protein
K7KBI1		GLYMA.02G295000	K7KBI1_SOYBN	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
A0A368UJX6	XP_003552079.1;	GLYMA.18G149700	A0A368UJX6_SOYBN	Glyco_transf_28 domain-containing protein
K7K5K8		GLYMA.01G240700	K7K5K8_SOYBN	Uncharacterized protein
A0A0R0JMW1		GLYMA.06G294700	A0A0R0JMW1_SOYBN	Lipase_GDSL domain-containing protein
K7MFX1		GLYMA.16G082600	K7MFX1_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7MM55		GLYMA.17G173500	K7MM55_SOYBN	Lipase_3 domain-containing protein
K7MRR2		GLYMA.18G129200	K7MRR2_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1JRE2		GLYMA.03G239000	I1JRE2_SOYBN	Mevalonate kinase (MK) (EC 2.7.1.36)
A0A0R0GJR2		GLYMA.14G125500	A0A0R0GJR2_SOYBN	Uncharacterized protein
K7MQD4		GLYMA.18G068900	K7MQD4_SOYBN	Neutral ceramidase (EC 3.5.1.23)
A0A0R0H1U3		GLYMA.12G054800	A0A0R0H1U3_SOYBN	Uncharacterized protein
I1MV38		GLYMA.17G144000	I1MV38_SOYBN	Uncharacterized protein
A0A0R0IJ60		GLYMA.08G089300	A0A0R0IJ60_SOYBN	START domain-containing protein
A0A368UGY1		GLYMA.17G241400	A0A368UGY1_SOYBN	Lipase_3 domain-containing protein
K7LBG8		GLYMA.09G025900	K7LBG8_SOYBN	Uncharacterized protein
I1NH69		GLYMA.20G172000	I1NH69_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0F9U0		GLYMA.17G074400	A0A0R0F9U0_SOYBN	FA_desaturase domain-containing protein
A0A0R0HIH1		GLYMA.11G002900	A0A0R0HIH1_SOYBN	Uncharacterized protein (Fragment)
A0A0R0L7Y3		GLYMA.01G071800	A0A0R0L7Y3_SOYBN	FA_desaturase domain-containing protein
I1L857		GLYMA.10G028100	I1L857_SOYBN	AAI domain-containing protein
I1N747	XP_003553822.1;	GLYMA.19G063400	I1N747_SOYBN	Oleosin
A0A0R0ELQ9		GLYMA.19G111400	A0A0R0ELQ9_SOYBN	Saposin B-type domain-containing protein
A0A0R0G822		GLYMA.14G018600	A0A0R0G822_SOYBN	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
I1KH67		GLYMA.07G034800	I1KH67_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0JAP7		GLYMA.06G022700	A0A0R0JAP7_SOYBN	Lipase_GDSL domain-containing protein
A0A0R0L4Q8		GLYMA.02G169100	A0A0R0L4Q8_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
A0A0R0L5I7		GLYMA.01G023400	A0A0R0L5I7_SOYBN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)
I1M727		GLYMA.14G032800	I1M727_SOYBN	Non-specific lipid-transfer protein
A0A0R0ECD6		GLYMA.20G172000	A0A0R0ECD6_SOYBN	Fatty acid hydroxylase domain-containing protein
K7LPR9		GLYMA.U033000	K7LPR9_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0GCE7		GLYMA.14G124000	A0A0R0GCE7_SOYBN	SMP-LTD domain-containing protein
I1MT39		GLYMA.17G075800	I1MT39_SOYBN	Lipocln_cytosolic_FA-bd_dom domain-containing protein
A0A0R0EN07		GLYMA.19G147300	A0A0R0EN07_SOYBN	FA_desaturase domain-containing protein
A0A0R0H5M6		GLYMA.13G310000	A0A0R0H5M6_SOYBN	Uncharacterized protein
A0A0R0IS41		GLYMA.08G248200	A0A0R0IS41_SOYBN	Uncharacterized protein
I1M1B6		GLYMA.13G214600	I1M1B6_SOYBN	Acyl carrier protein
I1JF46		GLYMA.02G142200	I1JF46_SOYBN	Lipase_3 domain-containing protein
I1MGM6		GLYMA.15G149400	I1MGM6_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0J9U8		GLYMA.07G115200	A0A0R0J9U8_SOYBN	Patatin (EC 3.1.1.-) (Fragment)
A0A0R0GRE9		GLYMA.13G002900	A0A0R0GRE9_SOYBN	Lipase
A0A0R0G554		GLYMA.15G026500	A0A0R0G554_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7KTR9		GLYMA.06G078700	K7KTR9_SOYBN	Oleosin
I1LMR9		GLYMA.11G230100	I1LMR9_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0HAI6		GLYMA.11G002900	A0A0R0HAI6_SOYBN	Uncharacterized protein (Fragment)
I1J4D2		GLYMA.01G004000	I1J4D2_SOYBN	Uncharacterized protein
I1MQ40	XP_006598724.1;	GLYMA.16G200200	I1MQ40_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
K7L476		GLYMA.08G002100	K7L476_SOYBN	Uncharacterized protein
I1MAE7		GLYMA.14G121400	I1MAE7_SOYBN	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)
I1L7F5		GLYMA.10G004400	I1L7F5_SOYBN	GLTP domain-containing protein
K7KX12		GLYMA.06G239800	K7KX12_SOYBN	GLTP domain-containing protein
K7KW85		GLYMA.06G205300	K7KW85_SOYBN	DUF676 domain-containing protein
I1MQ41		GLYMA.16G200200	I1MQ41_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
A0A0R0KLL5		GLYMA.03G048400	A0A0R0KLL5_SOYBN	Saposin B-type domain-containing protein
A0A0R0HS17		GLYMA.11G174100	A0A0R0HS17_SOYBN	Uncharacterized protein
A0A0R0E3G0		GLYMA.U001700	A0A0R0E3G0_SOYBN	ABC transporter domain-containing protein
K7LA86		GLYMA.08G322400	K7LA86_SOYBN	BPI2 domain-containing protein
K7MXS9		GLYMA.19G109600	K7MXS9_SOYBN	ATP-synt_C domain-containing protein
I1N393		GLYMA.18G214500	I1N393_SOYBN	Non-specific lipid-transfer protein
I1L7F4		GLYMA.10G004400	I1L7F4_SOYBN	GLTP domain-containing protein
A0A368UIZ6		GLYMA.09G136700	A0A368UIZ6_SOYBN	Uncharacterized protein
K7N3L0		GLYMA.20G152500	K7N3L0_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0EPQ1		GLYMA.20G172000	A0A0R0EPQ1_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0KFM3		GLYMA.04G172900	A0A0R0KFM3_SOYBN	ABC transporter domain-containing protein
I1KXS8	XP_003532059.1;	GLYMA.08G299900	I1KXS8_SOYBN	Delta8-sphingolipid desaturase 2
A0A0R4J2X1		GLYMA.03G144500	A0A0R4J2X1_SOYBN	Uncharacterized protein
I1KVF5	XP_006584522.1;	GLYMA.08G212900	I1KVF5_SOYBN	FA_desaturase domain-containing protein
A0A0R0EDR0		GLYMA.20G196600	A0A0R0EDR0_SOYBN	Uncharacterized protein
K7MNQ8		GLYMA.17G243900	K7MNQ8_SOYBN	Patatin (EC 3.1.1.-)
K7LRR0		GLYMA.11G230000	K7LRR0_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0GUU6		GLYMA.13G083300	A0A0R0GUU6_SOYBN	PH domain-containing protein
A0A0R4J414		GLYMA.09G022100	A0A0R4J414_SOYBN	GLTP domain-containing protein
I1M7T8		GLYMA.14G059300	I1M7T8_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
K7KIG5		GLYMA.04G064400	K7KIG5_SOYBN	Flotillin-like
I1L729		GLYMA.09G277100	I1L729_SOYBN	Uncharacterized protein
A0A368UIK0		GLYMA.02G310900	A0A368UIK0_SOYBN	SSD domain-containing protein
K7MYQ9		GLYMA.19G166800	K7MYQ9_SOYBN	Uncharacterized protein
K7KKS8		GLYMA.04G175700	K7KKS8_SOYBN	Uncharacterized protein
I1LAG3		GLYMA.10G121000	I1LAG3_SOYBN	AAI domain-containing protein
I1NBB1	XP_014626993.1;	GLYMA.19G215200	I1NBB1_SOYBN	Lipase_3 domain-containing protein
I1MG19		GLYMA.15G128400	I1MG19_SOYBN	GLTP domain-containing protein
K7MCP0		GLYMA.15G208700	K7MCP0_SOYBN	START domain-containing protein
A0A0R0GCX0		GLYMA.14G125300	A0A0R0GCX0_SOYBN	Uncharacterized protein (Fragment)
A0A0R0IDA2		GLYMA.09G252900	A0A0R0IDA2_SOYBN	Glyco_transf_28 domain-containing protein
A0A0R0GIR3		GLYMA.13G039200	A0A0R0GIR3_SOYBN	GLTP domain-containing protein
K7M8T2		GLYMA.15G008500	K7M8T2_SOYBN	Phospholipase D (EC 3.1.4.4)
A0A0R0JG33		GLYMA.06G026500	A0A0R0JG33_SOYBN	AB hydrolase-1 domain-containing protein
A0A368UIK5	XP_003553257.1;	GLYMA.19G050500	A0A368UIK5_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0LJL4		GLYMA.01G240700	A0A0R0LJL4_SOYBN	Uncharacterized protein
I1LGI7	XP_003538436.1;	GLYMA.11G027000	I1LGI7_SOYBN	3-hydroxy-3-methylglutaryl coenzyme A synthase (HMG-CoA synthase) (EC 2.3.3.10)
A0A0R0IB80		GLYMA.09G209500	A0A0R0IB80_SOYBN	Lipase_3 domain-containing protein
A0A0R0EKV9		GLYMA.19G111500	A0A0R0EKV9_SOYBN	Saposin B-type domain-containing protein
A0A0R0K4K3		GLYMA.05G194100	A0A0R0K4K3_SOYBN	Uncharacterized protein
I1KFB6	XP_003527487.1;	GLYMA.06G303700	I1KFB6_SOYBN	Uncharacterized protein
A0A0R0EJ67	XP_006606783.1;	GLYMA.20G066200	A0A0R0EJ67_SOYBN	Lipase
A0A0R0HVH0		GLYMA.11G230000	A0A0R0HVH0_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0IQ92		GLYMA.08G211700	A0A0R0IQ92_SOYBN	Phospholipase D (EC 3.1.4.4)
K7ML90		GLYMA.17G119100	K7ML90_SOYBN	Glyco_transf_28 domain-containing protein
A0A0R0J7P2		GLYMA.07G244500	A0A0R0J7P2_SOYBN	Lipase_3 domain-containing protein
I1J4Q9		GLYMA.01G014300	I1J4Q9_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1)
A0A0R0GQ01		GLYMA.13G038700	A0A0R0GQ01_SOYBN	Acyl-[acyl-carrier-protein] desaturase (EC 1.14.19.-)
K7L1E6		GLYMA.07G128800	K7L1E6_SOYBN	Acetyltransf_11 domain-containing protein
I1LYQ3		GLYMA.13G128000	I1LYQ3_SOYBN	3-oxoacyl-[acyl-carrier-protein] synthase
A0A0R0HTY9		GLYMA.11G229900	A0A0R0HTY9_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0H569		GLYMA.13G347600	A0A0R0H569_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0LGC1		GLYMA.01G240700	A0A0R0LGC1_SOYBN	Uncharacterized protein (Fragment)
K7M3Z7		GLYMA.13G368200	K7M3Z7_SOYBN	Uncharacterized protein
I1MG59		GLYMA.15G132000	I1MG59_SOYBN	Uncharacterized protein
A0A0R0LMH9		GLYMA.01G240700	A0A0R0LMH9_SOYBN	Uncharacterized protein (Fragment)
I1M269	XP_003543056.1;	GLYMA.13G240700	I1M269_SOYBN	Sphingolipid delta(4)-desaturase DES1-like (EC 1.14.19.17)
I1MSM4		GLYMA.17G060100	I1MSM4_SOYBN	Uncharacterized protein
K7MQP4		GLYMA.18G085400	K7MQP4_SOYBN	Uncharacterized protein
A0A0R0JHJ4		GLYMA.06G066600	A0A0R0JHJ4_SOYBN	Uncharacterized protein
I1J5P4	XP_003517965.1;	GLYMA.01G046000	I1J5P4_SOYBN	Delta8-sphingolipid desaturase 1
A0A0R0G851		GLYMA.15G065600	A0A0R0G851_SOYBN	SQHop_cyclase_C domain-containing protein
A0A368UHP9		GLYMA.09G183800	A0A368UHP9_SOYBN	Uncharacterized protein
I1JX17		GLYMA.04G177700	I1JX17_SOYBN	Uncharacterized protein
A0A0R0JN23		GLYMA.06G145700	A0A0R0JN23_SOYBN	ABC1 domain-containing protein
A0A368UHU0	XP_006587296.1;	GLYMA.09G136700	A0A368UHU0_SOYBN	Uncharacterized protein
A0A0R0J9A1		GLYMA.07G273300	A0A0R0J9A1_SOYBN	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
A0A0R0H734	XP_014621790.1;	GLYMA.13G342600	A0A0R0H734_SOYBN	Carrier domain-containing protein
A0A0R0HCN9		GLYMA.11G055400	A0A0R0HCN9_SOYBN	Lipase_3 domain-containing protein
I1KH68		GLYMA.07G034800	I1KH68_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0I3K9		GLYMA.09G041200	A0A0R0I3K9_SOYBN	Uncharacterized protein
K7M2H9		GLYMA.13G288800	K7M2H9_SOYBN	START domain-containing protein
A0A368UH54	XP_003543995.3;	GLYMA.13G003000	A0A368UH54_SOYBN	Lipase
A0A0R0J2I4		GLYMA.08G349200	A0A0R0J2I4_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
K7KKE5		GLYMA.04G159500	K7KKE5_SOYBN	Saposin B-type domain-containing protein
A0A0R0I8Q8		GLYMA.09G022100	A0A0R0I8Q8_SOYBN	GLTP domain-containing protein
A0A0R0J6R4		GLYMA.07G214100	A0A0R0J6R4_SOYBN	Uncharacterized protein
A0A0R0G9G6		GLYMA.15G188600	A0A0R0G9G6_SOYBN	Autophagy-related protein
A0A0R0ISW8		GLYMA.08G264700	A0A0R0ISW8_SOYBN	Tify domain-containing protein
I1KFY0		GLYMA.06G323800	I1KFY0_SOYBN	GP-PDE domain-containing protein
I1LC71		GLYMA.10G182600	I1LC71_SOYBN	GLTP domain-containing protein
A0A0R0JPL8		GLYMA.06G168000	A0A0R0JPL8_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
A0A368UNA6	XP_006575763.1;	GLYMA.02G310900	A0A368UNA6_SOYBN	SSD domain-containing protein
A0A0R0FBD6		GLYMA.18G129100	A0A0R0FBD6_SOYBN	Uncharacterized protein
A0A0R0HJ87		GLYMA.11G002900	A0A0R0HJ87_SOYBN	Uncharacterized protein (Fragment)
A0A0R0F8U3		GLYMA.18G069100	A0A0R0F8U3_SOYBN	Neutral ceramidase (EC 3.5.1.23) (Fragment)
A0A0R0HQ49		GLYMA.11G130500	A0A0R0HQ49_SOYBN	Carrier domain-containing protein (Fragment)
A0A0R0JAN9		GLYMA.06G022700	A0A0R0JAN9_SOYBN	Lipase_GDSL domain-containing protein
K7MCN9		GLYMA.15G208700	K7MCN9_SOYBN	START domain-containing protein
K7KVX1		GLYMA.06G191400	K7KVX1_SOYBN	ABC transporter domain-containing protein
A0A0R0G9B6	XP_006595601.2;	GLYMA.14G051400	A0A0R0G9B6_SOYBN	Uncharacterized protein
I1J7P1		GLYMA.01G132500	I1J7P1_SOYBN	Non-specific lipid-transfer protein
A0A0R4J580		GLYMA.15G128400	A0A0R4J580_SOYBN	GLTP domain-containing protein
K7KWC6		GLYMA.06G209900	K7KWC6_SOYBN	Uncharacterized protein
I1KUQ2		GLYMA.08G189400	I1KUQ2_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1KJJ2		GLYMA.07G115500	I1KJJ2_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0FB49		GLYMA.17G109500	A0A0R0FB49_SOYBN	Uncharacterized protein
K7LX80		GLYMA.13G075900	K7LX80_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1MBJ2		GLYMA.14G201900	I1MBJ2_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1)
I1JE01		GLYMA.02G102800	I1JE01_SOYBN	Uncharacterized protein
I1M599		GLYMA.13G347800	I1M599_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1NII2		GLYMA.20G218200	I1NII2_SOYBN	START domain-containing protein
I1LC70		GLYMA.10G182600	I1LC70_SOYBN	GLTP domain-containing protein
A0A0R0I183		GLYMA.10G297100	A0A0R0I183_SOYBN	Lipase_3 domain-containing protein (Fragment)
K7L7J7		GLYMA.08G189600	K7L7J7_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7KYV6		GLYMA.07G006700	K7KYV6_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A368UGJ5		GLYMA.18G120400	A0A368UGJ5_SOYBN	Cytochrome b5 heme-binding domain-containing protein
I1K1M7		GLYMA.05G002200	I1K1M7_SOYBN	AAI domain-containing protein
K7MGP2		GLYMA.16G114300	K7MGP2_SOYBN	Uncharacterized protein
I1JBH3	XP_014619726.1;	GLYMA.02G013700	I1JBH3_SOYBN	Lipase_3 domain-containing protein
K7KPC7		GLYMA.05G101500	K7KPC7_SOYBN	START domain-containing protein
A0A0R0L567		GLYMA.01G014600	A0A0R0L567_SOYBN	START domain-containing protein
A0A0R0JJA3		GLYMA.06G196400	A0A0R0JJA3_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1) (Fragment)
A0A0R0EDQ0		GLYMA.U008000	A0A0R0EDQ0_SOYBN	AAI domain-containing protein
I1JRE1		GLYMA.03G239000	I1JRE1_SOYBN	Mevalonate kinase (MK) (EC 2.7.1.36)
K7MD18		GLYMA.15G220200	K7MD18_SOYBN	START domain-containing protein
A0A0R0GL08		GLYMA.14G051400	A0A0R0GL08_SOYBN	Uncharacterized protein
K7LF41		GLYMA.09G207800	K7LF41_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1)
