A0A068FL09	AT2G46480.1
F4HP45	AT1G19350.4
F4HP45	AT1G19350.6
F4HP88	AT1G19650.1
F4HP88	AT1G19650.2
F4HP88	AT1G19650.3
F4HP89	AT1G19650.1
F4HP89	AT1G19650.2
F4HP89	AT1G19650.3
F4HPM2	AT1G45015.1
F4HPM2	AT1G45015.2
F4HQB1	AT1G79810.1
F4HQB1	AT1G79810.2
F4HQC0	AT1G79840.1
F4HQC0	AT1G79840.2
F4HQC0	AT1G79840.3
F4HQC0	AT1G79840.4
F4HQC0	AT1G79840.5
F4HQC0	AT1G79840.6
F4HQG9	AT1G01060.3
F4HQG9	AT1G01060.2
F4HQG9	AT1G01060.1
F4HQG9	AT1G01060.4
F4HQG9	AT1G01060.5
F4HQG9	AT1G01060.4
F4HQG9	AT1G01060.6
F4HQG9	AT1G01060.7
F4HQG9	AT1G01060.8
F4HQH3	AT1G01060.3
F4HQH3	AT1G01060.2
F4HQH3	AT1G01060.1
F4HQH3	AT1G01060.4
F4HQH3	AT1G01060.5
F4HQH3	AT1G01060.4
F4HQH3	AT1G01060.6
F4HQH3	AT1G01060.7
F4HQH3	AT1G01060.8
F4HQM3	AT1G07380.1
F4HQM3	AT1G07380.2
F4HQU9	AT1G13560.1
F4HQU9	AT1G13560.2
F4HQU9	AT1G13560.3
F4HR96	AT1G33700.1
F4HR96	AT1G33700.2
F4HR96	AT1G33700.1
F4HR96	AT1G33700.2
F4HR96	AT1G33700.3
F4HR96	AT1G33700.4
F4HRM3	AT1G60890.1
F4HRM3	AT1G60890.2
F4HS17	AT1G73920.1
F4HS17	AT1G73920.2
F4HSP7	AT1G20130.1
F4HSP7	AT1G20130.2
F4HST9	AT1G20510.1
F4HST9	AT1G20510.2
F4HST9	AT1G20510.3
F4HSY7	AT1G27570.1
F4HSY7	AT1G27570.2
F4HSY8	AT1G27570.1
F4HSY8	AT1G27570.2
F4HT46	AT1G34120.1
F4HT46	AT1G34120.2
F4HT46	AT1G34120.3
F4HT46	AT1G34120.4
F4HT46	AT1G34120.5
F4HT96	AT1G47510.1
F4HT96	AT1G47510.2
F4HT96	AT1G47510.3
F4HT96	AT1G47510.4
F4HTE5	AT1G53890.1
F4HTE5	AT1G53890.2
F4HTE5	AT1G53890.3
F4HTE5	AT1G53890.2
F4HTE5	AT1G53890.4
F4HTE5	AT1G53890.5
F4HU55	AT1G01740.1
F4HU55	AT1G01740.2
F4HU55	AT1G01740.1
F4HU55	AT1G01740.2
F4HU55	AT1G01740.3
F4HU55	AT1G01740.4
F4HU55	AT1G01740.5
F4HV37	AT1G47786.1
F4HVE4	AT1G61680.1
F4HVE4	AT1G61680.2
F4HVX7	AT1G02190.1
F4HVX7	AT1G02190.2
F4HVX7	AT1G02190.2
F4HVY0	AT1G02205.2
F4HVY0	AT1G02205.1
F4HVY0	AT1G02205.3
F4HVY0	AT1G02205.1
F4HVY0	AT1G02205.3
F4HVY0	AT1G02205.4
F4HVY0	AT1G02205.5
F4HWQ7	AT1G35170.1
F4HWQ7	AT1G35170.2
F4HWQ7	AT1G35170.3
F4HWQ7	AT1G35170.4
F4HWS2	AT1G48090.2
F4HWS2	AT1G48090.1
F4HWS2	AT1G48090.2
F4HWS2	AT1G48090.3
F4HWS2	AT1G48090.4
F4HWS2	AT1G48090.5
F4HWS2	AT1G48090.6
F4HX14	AT1G61850.1
F4HX14	AT1G61850.2
F4HX14	AT1G61850.2
F4HX15	AT1G61850.1
F4HX15	AT1G61850.2
F4HX15	AT1G61850.2
F4HX80	AT1G68280.1
F4HX80	AT1G68280.1
F4HXL0	AT1G02660.1
F4HXN8	AT1G08660.1
F4HXN8	AT1G08660.2
F4HXN8	AT1G08660.2
F4HXN8	AT1G08660.3
F4HXW5	AT1G14940.1
F4HXW5	AT1G14940.2
F4HXW5	AT1G14940.1
F4HXY6	AT1G15110.1
F4HXY6	AT1G15110.2
F4HXY6	AT1G15110.3
F4HXY6	AT1G15110.4
F4HXY7	AT1G15110.1
F4HXY7	AT1G15110.2
F4HXY7	AT1G15110.3
F4HXY7	AT1G15110.4
F4HYI3	AT1G48590.1
F4HYI3	AT1G48590.2
F4HYI3	AT1G48590.3
F4HYI3	AT1G48590.1
F4HYI3	AT1G48590.3
F4HYI3	AT1G48590.4
F4HZ25	AT1G75370.1
F4HZ25	AT1G75370.2
F4HZ57	AT1G75630.1
F4HZ57	AT1G75630.2
F4HZB1	AT1G03055.1
F4HZB1	AT1G03055.2
F4HZB9	AT1G03103.1
F4HZB9	AT1G03103.1
F4HZJ6	AT1G15240.1
F4HZJ6	AT1G15240.2
F4HZJ6	AT1G15240.3
F4HZJ6	AT1G15240.4
F4HZJ6	AT1G15240.5
F4HZJ7	AT1G15240.1
F4HZJ7	AT1G15240.2
F4HZJ7	AT1G15240.3
F4HZJ7	AT1G15240.4
F4HZJ7	AT1G15240.5
F4I082	AT1G55260.1
F4I082	AT1G55260.2
F4I083	AT1G55260.1
F4I083	AT1G55260.2
F4I1C1	AT1G22300.1
F4I1C1	AT1G22300.2
F4I1C1	AT1G22300.3
F4I1L3	AT1G36180.2
F4I1L3	AT1G36180.1
F4I1L3	AT1G36180.3
F4I1W0	AT1G55690.1
F4I1W0	AT1G55690.3
F4I1W0	AT1G55690.2
F4I1W0	AT1G55690.4
F4I1W0	AT1G55690.5
F4I1Z0	AT1G63110.1
F4I1Z0	AT1G63110.2
F4I1Z0	AT1G63110.3
F4I287	AT1G69710.1
F4I287	AT1G69710.2
F4I403	AT1G76680.1
F4I403	AT1G76680.2
F4I454	AT1G04120.1
F4I454	AT1G04120.2
F4I454	AT1G04120.3
F4I4P8	AT1G23250.1
F4I4P8	AT1G23250.2
F4I4W1	AT1G37150.1
F4I4W1	AT1G37150.3
F4I4W1	AT1G37150.4
F4I4W1	AT1G37150.2
F4I4W1	AT1G37150.3
F4I4W1	AT1G37150.5
F4I4W1	AT1G37150.6
F4I4W1	AT1G37150.7
F4I4W1	AT1G37150.8
F4I4W1	AT1G37150.9
F4I4W2	AT1G37150.1
F4I4W2	AT1G37150.3
F4I4W2	AT1G37150.4
F4I4W2	AT1G37150.2
F4I4W2	AT1G37150.3
F4I4W2	AT1G37150.5
F4I4W2	AT1G37150.6
F4I4W2	AT1G37150.7
F4I4W2	AT1G37150.8
F4I4W2	AT1G37150.9
F4I4X6	AT1G50030.1
F4I4X6	AT1G50030.2
F4I568	AT1G56630.1
F4I5A5	AT1G64130.1
F4I5P7	AT1G04540.1
F4I5X3	AT1G10740.1
F4I5X3	AT1G10740.2
F4I5X3	AT1G10740.3
F4I5X3	AT1G10740.4
F4I5X3	AT1G10740.1
F4I5X3	AT1G10740.3
F4I5X3	AT1G10740.4
F4I6Z0	AT1G70870.1
F4I775	AT1G04970.3
F4I775	AT1G04970.1
F4I775	AT1G04970.2
F4I8H8	AT1G71340.1
F4I8Q8	AT1G05370.1
F4IA20	AT1G71710.1
F4IA20	AT1G71710.2
F4IA20	AT1G71710.2
F4IAA0	AT1G05630.1
F4IAA0	AT1G05630.2
F4IAA0	AT1G05630.1
F4IAA0	AT1G05630.3
F4IAT8	AT1G24793.1
F4IAT8	AT1G24793.2
F4IAT8	AT1G24793.1
F4IAT8	AT1G24793.2
F4IAU3	AT1G24880.2
F4IAU3	AT1G24880.3
F4IAU3	AT1G24880
F4IAU4	AT1G24880.2
F4IAU4	AT1G24880.3
F4IAU4	AT1G24880
F4IAW1	AT1G25210.1
F4IAW1	AT1G25210.2
F4IAW1	AT1G25210.1
F4IAW1	AT1G25210.2
F4IAW2	AT1G25210.1
F4IAW2	AT1G25210.2
F4IAW2	AT1G25210.1
F4IAW2	AT1G25210.2
F4IBA6	AT1G52150.1
F4IBA6	AT1G52150.2
F4IBA6	AT1G52150.3
F4IBF0	AT1G59030.1
F4IBF0	AT1G59030.1
F4IBP0	AT1G72110.1
F4IBP0	AT1G72110.2
F4IBV4	AT1G78800.1
F4IC43	AT1G12100.1
F4IC43	AT1G12100.1
F4IDI6	AT1G79110.1
F4IDI6	AT1G79110.2
F4IDI6	AT1G79110.2
F4IDI6	AT1G79110.3
F4IDU4	AT1G12640.1
F4IDV8	AT1G12730.1
F4IDV8	AT1G12730.2
F4IE43	AT1G26200.1
F4IE43	AT1G26200.2
F4IE43	AT1G26200.3
F4IFL9	AT2G20950.1
F4IFL9	AT2G20950.2
F4IFL9	AT2G20950.3
F4IFL9	AT2G20950.4
F4IFL9	AT2G20950.10
F4IFL9	AT2G20950.11
F4IFL9	AT2G20950.12
F4IFL9	AT2G20950.13
F4IFL9	AT2G20950.14
F4IFL9	AT2G20950.5
F4IFL9	AT2G20950.6
F4IFL9	AT2G20950.7
F4IFL9	AT2G20950.8
F4IFL9	AT2G20950.9
F4IFM0	AT2G20950.1
F4IFM0	AT2G20950.2
F4IFM0	AT2G20950.3
F4IFM0	AT2G20950.4
F4IFM0	AT2G20950.10
F4IFM0	AT2G20950.11
F4IFM0	AT2G20950.12
F4IFM0	AT2G20950.13
F4IFM0	AT2G20950.14
F4IFM0	AT2G20950.5
F4IFM0	AT2G20950.6
F4IFM0	AT2G20950.7
F4IFM0	AT2G20950.8
F4IFM0	AT2G20950.9
F4IFM1	AT2G20950.1
F4IFM1	AT2G20950.2
F4IFM1	AT2G20950.3
F4IFM1	AT2G20950.4
F4IFM1	AT2G20950.10
F4IFM1	AT2G20950.11
F4IFM1	AT2G20950.12
F4IFM1	AT2G20950.13
F4IFM1	AT2G20950.14
F4IFM1	AT2G20950.5
F4IFM1	AT2G20950.6
F4IFM1	AT2G20950.7
F4IFM1	AT2G20950.8
F4IFM1	AT2G20950.9
F4IFM9	AT2G21010.1
F4IHJ0	AT2G21520.1
F4IHJ0	AT2G21520.2
F4IHJ0	AT2G21520.3
F4IHJ2	AT2G21540.1
F4IHJ2	AT2G21540.2
F4IHJ2	AT2G21540.3
F4IHJ2	AT2G21540.4
F4IHJ2	AT2G21540.5
F4IHJ2	AT2G21540.6
F4IHT0	AT2G28320.1
F4IHT0	AT2G28320.1
F4IIN3	AT2G22240.1
F4IIN3	AT2G22240.2
F4IIN3	AT2G22240.3
F4IIZ8	AT2G40815.1
F4IIZ8	AT2G40815.2
F4IJ57	AT2G46500.1
F4IJ57	AT2G46500.2
F4IJ57	AT2G46500.3
F4IJE1	AT2G15900.1
F4IJE1	AT2G15900.1
F4IKF6	AT2G22730.1
F4IKF6	AT2G22730.2
F4IKF6	AT2G22730.3
F4IKF6	AT2G22730.4
F4IKF6	AT2G22730.5
F4IKF6	AT2G22730.6
F4IKF6	AT2G22730.7
F4IKR2	AT2G35520.1
F4IKR2	AT2G35520.2
F4IKR2	AT2G35520.3
F4ILQ4	AT2G29980.1
F4ILQ4	AT2G29980.2
F4IM05	AT2G42130.1
F4IM05	AT2G42130.2
F4IM05	AT2G42130.3
F4IM05	AT2G42130.5
F4IM05	AT2G42130.4
F4IMI8	AT2G23400.1
F4IMI8	AT2G23400.2
F4IN30	AT2G42450.1
F4INU9	AT2G30550.1
F4INU9	AT2G30550.2
F4IPA6	AT2G01690.1
F4IPA6	AT2G01690.2
F4IPJ1	AT2G17930.1
F4IQJ4	AT2G18420.1
F4IQJ4	AT2G18420.2
F4IQW9	AT2G37440.1
F4IQW9	AT2G37440.2
F4IQW9	AT2G37440.3
F4IR05	AT2G37700.1
F4IR05	AT2G37700.2
F4IR05	AT2G37700.2
F4IR05	AT2G37700.3
F4IR05	AT2G37700.4
F4IRT2	AT2G31830.1
F4IRT2	AT2G31830.2
F4IRT2	AT2G31830.3
F4IRY2	AT2G38010.1
F4IRY2	AT2G38010.2
F4IRY2	AT2G38010.2
F4IRY2	AT2G38010.3
F4IS32	AT2G43710.1
F4IS32	AT2G43710.2
F4ITF6	AT2G19690.1
F4ITF6	AT2G19690.2
F4ITF6	AT2G19690.3
F4ITT3	AT2G32640.1
F4ITT3	AT2G32640.2
F4IU13	AT2G38995.1
F4IU13	AT2G38995.2
F4IU13	AT2G38995.3
F4IU13	AT2G38995.4
F4IU14	AT2G38995.1
F4IU14	AT2G38995.2
F4IU14	AT2G38995.3
F4IU14	AT2G38995.4
F4IU74	AT2G03890.1
F4IU74	AT2G03890.2
F4IV00	AT2G39435.1
F4IV00	AT2G39435.2
F4IV00	AT2G39435.3
F4IV00	AT2G39435.4
F4IV00	AT2G39435.5
F4IV00	AT2G39435.6
F4IVK2	AT2G26800.1
F4IVK2	AT2G26800.2
F4IVK2	AT2G26800.3
F4IVK2	AT2G26800.4
F4IVK2	AT2G26800.5
F4IVR1	AT2G33205.1
F4IVR1	AT2G33205.7
F4IVR1	AT2G33205.8
F4IVR1	AT2G33205.9
F4IVR1	AT2G33205.2
F4IVR1	AT2G33205.3
F4IVR1	AT2G33205.4
F4IVR1	AT2G33205.5
F4IVR1	AT2G33205.6
F4IW27	AT2G45150.1
F4IW27	AT2G45150.2
F4IW27	AT2G45150.3
F4IW27	AT2G45150.3
F4IW27	AT2G45150.1
F4IW27	AT2G45150.2
F4IW27	AT2G45150
F4IW28	AT2G45150.1
F4IW28	AT2G45150.2
F4IW28	AT2G45150.3
F4IW28	AT2G45150.3
F4IW28	AT2G45150.1
F4IW28	AT2G45150.2
F4IW28	AT2G45150
F4IW75	AT3G14590.1
F4IW75	AT3G14590.2
F4IW75	AT3G14590.3
F4IW75	AT3G14590.4
F4IW75	AT3G14590.5
F4IWG2	AT3G27325.1
F4IWG2	AT3G27325.2
F4IWG2	AT3G27325.1
F4IWG2	AT3G27325.2
F4IWG2	AT3G27325.3
F4IWG3	AT3G27325.1
F4IWG3	AT3G27325.2
F4IWG3	AT3G27325.1
F4IWG3	AT3G27325.2
F4IWG3	AT3G27325.3
F4IX90	AT3G08510.1
F4IX90	AT3G08510.2
F4IX90	AT3G08510.3
F4IX90	AT3G08510.4
F4IXC6	AT3G08770.1
F4IXC6	AT3G08770.2
F4IXL7	AT3G21500.1
F4IXL7	AT3G21500.2
F4IXL7	AT3G21500.3
F4IXL8	AT3G21500.1
F4IXL8	AT3G21500.2
F4IXL8	AT3G21500.3
F4IXV2	AT3G43220.1
F4IXV2	AT3G43220.2
F4IXV2	AT3G43220.3
F4IY77	AT3G56130.1
F4IY77	AT3G56130.3
F4IY77	AT3G56130.2
F4IY77	AT3G56130.4
F4IY77	AT3G56130.1
F4IY77	AT3G56130.4
F4IY77	AT3G56130.5
F4IYH1	AT3G02870.1
F4IYH1	AT3G02870.2
F4IYH1	AT3G02870.3
F4IZC4	AT3G56160.1
F4IZC4	AT3G56160.2
F4IZC4	AT3G56160.3
F4IZC4	AT3G56160.4
F4IZC4	AT3G56160.5
F4IZE4	AT3G56310.1
F4IZE4	AT3G56310.2
F4IZE4	AT3G56310.2
F4J0U7	AT3G56930.1
F4J0U7	AT3G56930.2
F4J1V2	AT3G44110.1
F4J1V2	AT3G44110.2
F4J220	AT3G50920.1
F4J220	AT3G50920.2
F4J220	AT3G50920.2
F4J262	AT3G57170.1
F4J262	AT3G57170.2
F4J2J7	AT3G10116.1
F4J2V1	AT3G23080.1
F4J2V1	AT3G23080.2
F4J2V1	AT3G23080.3
F4J2Y2	AT3G23270.1
F4J2Y2	AT3G23270.2
F4J376	AT3G44740.1
F4J376	AT3G44740.2
F4J376	AT3G44740.3
F4J376	AT3G44740.4
F4J376	AT3G44740.5
F4J3N4	AT3G04360.1
F4J3T8	AT3G10550.1
F4J432	AT3G23460.1
F4J434	AT3G23480.1
F4J434	AT3G23480.2
F4J434	AT3G23480.3
F4J435	AT3G23480.1
F4J435	AT3G23480.2
F4J435	AT3G23480.3
F4J5T2	AT3G52200.1
F4J5T2	AT3G52200.2
F4J5V8	AT3G58490.1
F4J5V8	AT3G58490.2
F4J690	AT3G11325.1
F4J690	AT3G11325.2
F4J6R6	AT3G45770.1
F4J6R6	AT3G45770.2
F4J7C3	AT3G05510.1
F4J7C3	AT3G05510.2
F4J7C3	AT3G05510.1
F4J7C7	AT3G11540.1
F4J7C7	AT3G11540.2
F4J7G5	AT3G11780.1
F4J7G5	AT3G11780.2
F4J7S8	AT3G24840.1
F4J7S8	AT3G24840.2
F4J7S8	AT3G24840.3
F4J7S8	AT3G24840.4
F4J7S8	AT3G24840.5
F4J7S8	AT3G24840.6
F4J7S8	AT3G24840.7
F4J7V2	AT3G30805.1
F4J859	AT3G52940.1
F4J859	AT3G52940.2
F4J8K0	AT3G11945.1
F4J8K0	AT3G11945.2
F4J8Q4	AT3G12280.1
F4J8Q4	AT3G12280.2
F4J8Q4	AT3G12280.2
F4J9G0	AT3G59770.1
F4J9G0	AT3G59770.2
F4J9G0	AT3G59770.3
F4J9G0	AT3G59770.4
F4J9G1	AT3G59770.1
F4J9G1	AT3G59770.2
F4J9G1	AT3G59770.3
F4J9G1	AT3G59770.4
F4J9I3	AT3G59950.1
F4J9I3	AT3G59950.2
F4J9I3	AT3G59950.3
F4J9I3	AT3G59950.4
F4J9I3	AT3G59950.5
F4J9T2	AT3G12545.1
F4J9W3	AT3G18850.1
F4J9W3	AT3G18850.2
F4J9W3	AT3G18850.3
F4J9W3	AT3G18850.4
F4J9W3	AT3G18850.5
F4J9W3	AT3G18850.6
F4JA27	AT3G25585.1
F4JA27	AT3G25585.4
F4JA27	AT3G25585.3
F4JA27	AT3G25585.2
F4JA27	AT3G25585.5
F4JA27	AT3G25585.6
F4JA62	AT3G25820
F4JA62	AT3G25820.1
F4JA62	AT3G25820.2
F4JA62	AT3G25820
F4JA62	AT3G25820.1
F4JA62	AT3G25820.3
F4JA62	AT3G25820.4
F4JBH8	AT3G47350.1
F4JBH8	AT3G47350.2
F4JBH8	AT3G47350.3
F4JCI4	AT3G26380.1
F4JCI4	AT3G26380.2
F4JCN9	AT3G47710.1
F4JCU3	AT3G54250.1
F4JCU3	AT3G54250.2
F4JD16	AT3G60950.1
F4JD27	AT3G61030.1
F4JD48	AT3G01380.1
F4JD48	AT3G01380.2
F4JD78	AT3G06960.1
F4JD78	AT3G06960.2
F4JDA1	AT3G07140.1
F4JDA1	AT3G07140.2
F4JDA1	AT3G07140.1
F4JDA1	AT3G07140.2
F4JDA5	AT3G07180.1
F4JDA5	AT3G07180.2
F4JDA5	AT3G07180.3
F4JDA6	AT3G07180.1
F4JDA6	AT3G07180.2
F4JDA6	AT3G07180.3
F4JDQ6	AT3G26820.1
F4JDQ6	AT3G26820.2
F4JDV4	AT3G48195.1
F4JEP7	AT3G20480.1
F4JEP7	AT3G20480.2
F4JEP7	AT3G20480.3
F4JEP7	AT3G20480.4
F4JEP7	AT3G20480.5
F4JEQ1	AT3G20520.1
F4JF56	AT3G48820.1
F4JF56	AT3G48820.2
F4JFL8	AT3G07690.1
F4JFL8	AT3G07690.2
F4JFL8	AT3G07690.1
F4JFU8	AT3G14360.1
F4JFU8	AT3G14360.1
F4JFW6	AT4G08180.1
F4JFW6	AT4G08180.2
F4JFW6	AT4G08180.3
F4JFW6	AT4G08180.4
F4JG14	AT4G08170.1
F4JG14	AT4G08170.2
F4JG14	AT4G08170.3
F4JG14	AT4G08170.3
F4JG14	AT4G08170.4
F4JG14	AT4G08170.5
F4JG14	AT4G08170.6
F4JG14	AT4G08170.7
F4JGB9	AT4G04320.1
F4JGB9	AT4G04320.2
F4JGD2	AT4G04460.1
F4JGD2	AT4G04460.2
F4JGP6	AT4G05210.1
F4JGP6	AT4G05210.2
F4JGP6	AT4G05210.3
F4JIG1	AT4G14805.1
F4JIH9	AT4G14910.1
F4JIH9	AT4G14910.2
F4JIH9	AT4G14910.3
F4JIH9	AT4G14910.2
F4JIN8	AT4G21200.1
F4JIN8	AT4G21200.2
